moe_tech_education_opinion_2025_0	| 信息名称： | 教育部等七部门关于加强中小学科技教育的意见 |  |  |  |  |  | 信息索引： | 360A06-09-2025-0029-1 |
pbl_forming_teams_0	Forming Project Teams Strategy Guide. PBL provides opportunities for students to
pbl_interviews_0	Preparing for and Conducting Interviews Strategy Guide. Students conduct intervi
pbl_team_contract_template_0	Project Team Contract Template. A simple structure for teams to agree on working
pbl_revisiting_ntk_0	Revisiting Need to Know Questions Strategy Guide. Need to know questions initiat
pbl_storyboard_0	Storyboard Template. Use frames to show key project milestones and represent sig
pbl_thinking_routines_path_0	Thinking Routines and Project PATH. Maps thinking routines to the four phases of
pbl_roles_in_teams_0	Using Roles in Teams Strategy Guide. Planning specific real-world team roles add
pbl_using_rubrics_0	Using Rubrics Strategy Guide. A rubric should be leveraged throughout the projec
pbl_english_learner_scaffolds_0	Scaffolding for English Learners in PBL, aligned with California's English Langu
pbl_essential_design_elements_0	Essential Project Design Elements Checklist (Gold Standard PBL, Buck Institute f
pbl_project_based_teaching_rubric_0	Project Based Teaching Rubric evaluating teacher practice across seven Project B
pbl_project_path_0	Project Path: four phases of a project. Phase 1 Launch Project (Entry Event and 
pbl_using_ai_planning_0	Using AI to Support PBL Planning Strategy Guide. Conversational AI like Claude.A
pbl_models_quality_work_0	Using Models of Quality Work Strategy Guide. Analyzing models of high-quality wo
pbl_success_skills_early_childhood_0	Using Success Skills Rubrics in Early Childhood Strategy Guide. Success skills l
pbl_visual_performing_arts_0	PBL Spotlights: PBL in Visual and Performing Arts. The public product is a natur
pbl_working_outside_experts_0	Working with Outside Experts Strategy Guide. Inviting adults who do the work of 
pbl_presentation_day_checklist_0	Presentation Day Checklist: Schedule of presentations set; Guests/audience know 
pbl_presentation_plan_0	Presentation Plan. A form for students to plan their presentations, outlining pr
pbl_project_management_log_team_0	Project Management Log: Team Tasks. A tool for teams to track project tasks and 
pbl_audience_feedback_form_2_0	Project Presentation Audience Feedback Form, including Student Team, Project Nam
pbl_work_report_individual_0	Project Work Report: Individual. A self-reporting tool including Project Name, S
pbl_work_report_team_0	Project Work Report: Team. A self-reporting tool for teams including Project Nam
pbl_self_reflection_0	Self-Reflection on Project Work. A form completed at project end, including Stud
pbl_letter_to_parents_0	Template for Letter to Parents, communicating an upcoming PBL project: introduct
pbl_physical_education_0	PBL Spotlights: PBL in Physical Education. PBL and PE share hands-on learning, g
pbl_post_project_reflection_0	Post Project Reflection and Feedback from Students Strategy Guide. Teachers shou
pbl_preparing_presentations_0	Preparing Students for Presentations Strategy Guide. Presenting to an authentic 
pbl_project_design_rubric_2022_0	Project Design Rubric (2022), evaluating Gold Standard PBL project design across
pbl_project_walls_0	Project Walls Strategy Guide. A project wall is a visual classroom 'hub' managin
pbl_reflection_0	Reflection Strategy Guide. Reflection describes cognitive processes for making m
pbl_revision_strategies_0	Revision Strategies Strategy Guide. Revision makes PBL iterative, fostering deep
pbl_science_spotlight_0	PBL Spotlights: PBL in Science. Gold Standard PBL emulates how science happens i
pbl_self_directed_learning_35_0	Self-Directed Learning Rubric Grades 3-5, aligned to NCIES literature review. Se
pbl_self_directed_learning_612_0	Self-Directed Learning Rubric Grades 6-12, aligned to NCIES literature review. S
pbl_self_directed_learning_k2_0	Self-Directed Learning Rubric Grade K-2, aligned to NCIES literature review, wit
pbl_special_education_0	PBL Spotlights: PBL Inclusive of Students with Special Needs. PBL's design eleme
pbl_workshop_model_0	The Workshop Model Strategy Guide. An apprenticeship approach with structured sh
pbl_thinking_routines_guide_0	Thinking Routines Strategy Guide. Structured protocols guiding intentional think
edutopia_pbl_defined_0	What the Heck Is Project-Based Learning? Your content has been saved! Go to My S
edutopia_pbl_defined_1	and me again, let's bump up that definition so that it more accurately captures 
edutopia_pbl_defined_2	I love a great roller coaster, but their décor needs some serious work. At Disne
edutopia_pbl_defined_3	looking to foster innovation. PBL keeps its eye on the ball no matter the trendy
edutopia_getting_started_0	Resources for Getting Started With Project-Based Learning Explore Edutopia’s cur
edutopia_getting_started_1	fifth grade classroom. - Learning by Doing: A Teacher Transitions Into PBL, by S
edutopia_getting_started_2	picture of a project-based learning classroom. Read more on what works best when
edutopia_pbl_hub_0	Project-Based Learning (PBL) Project-based learning is a dynamic classroom appro
edutopia_pbl_hub_1	have a proper audience.1.3kYour content has been saved! Go to My Saved Content. 
hth_project_1_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL Teacher: Carl Landegger Grade 
hth_project_2_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS Students from kinderg
hth_project_3_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS Together we answered 
hth_project_3_1	work in a book on Amazon which is available for purchase! Humanities: 5th grader
hth_project_4_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS How do my everyday ch
hth_project_4_1	of independence that students had when walking their grown-ups around their exhi
hth_project_5_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS How does knowing and 
hth_project_6_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS Our project launched 
hth_project_6_1	they can take action to support community members in need. Students were so exci
hth_project_7_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS Students will explore
hth_project_8_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS This trimester we put
hth_project_9_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS “Can we work on actua
hth_project_9_1	this very technical document, looking up any terms they did not understand, and 
hth_project_9_2	possible. A momentous decision — whether or not their case would be taken on — d
hth_project_10_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS “If a staircase goes 
hth_project_10_1	Students created a poster explaining the math they had used in their staircase. 
hth_project_10_2	on the quality of their revision, and their explanation of what they learned abo
hth_project_11_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS How does / can urban 
hth_project_11_1	created posters, detailing their proposed solutions. These posters were displaye
hth_project_11_2	Old Town. We were able to take a deeper look into different cultures around San 
hth_project_12_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS After students explor
hth_project_12_1	Weekend | This is a project for which we are extremely proud. It really matches 
hth_project_13_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS “A city is a particul
hth_project_13_1	research and represent in a conceptual map. Field work at the Historical Society
hth_project_14_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS Art teacher Jeremy Fa
hth_project_14_1	an evening event at the school. The true exhibition was the public release of th
hth_project_15_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS In this 6 week projec
hth_project_15_1	to make the toy more interactive while other toys were “old school,” constructed
hth_project_15_2	prepare for the interview, and then conduct follow-up sessions with the families
hth_project_16_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS What makes up a commu
hth_project_17_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS In this project stude
hth_project_18_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS This is a joint proje
hth_project_18_1	how molecules in a solution are separated or purified by the methods of chromato
hth_project_18_2	and its human costs (military and civilian) on all sides of the conflict, includ
hth_project_18_3	a work of literature is related to the themes and issues of its historical perio
hth_project_18_4	– March 12 | Continue WWII Play practice | Continue chemistry articles | | Week 
hth_project_19_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS The ability to make y
hth_project_19_1	students to engage with the project. While all students in the class were grappl
hth_project_20_0	PROJECT DESCRIPTION INSTRUCTORS SCHOOL SITE LEVEL SUBJECTS “Who are our unsung h
hth_project_20_1	Back at school they transcribed the story and used it to create a “documentary p
